year,month,bank,url,report,date
1970,5,at,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-at,1970-05-at,5/1/1970
1970,5,bo,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-bo,1970-05-bo,5/1/1970
1970,5,ch,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-ch,1970-05-ch,5/1/1970
1970,5,cl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-cl,1970-05-cl,5/1/1970
1970,5,da,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-da,1970-05-da,5/1/1970
1970,5,kc,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-kc,1970-05-kc,5/1/1970
1970,5,mi,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-mi,1970-05-mi,5/1/1970
1970,5,ny,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-ny,1970-05-ny,5/1/1970
1970,5,ph,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-ph,1970-05-ph,5/1/1970
1970,5,ri,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-ri,1970-05-ri,5/1/1970
1970,5,sf,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-sf,1970-05-sf,5/1/1970
1970,5,sl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-sl,1970-05-sl,5/1/1970
1970,5,su,https://www.minneapolisfed.org/beige-book-reports/1970/1970-05-su,1970-05-su,5/1/1970
1970,6,at,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-at,1970-06-at,6/1/1970
1970,6,bo,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-bo,1970-06-bo,6/1/1970
1970,6,ch,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-ch,1970-06-ch,6/1/1970
1970,6,cl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-cl,1970-06-cl,6/1/1970
1970,6,da,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-da,1970-06-da,6/1/1970
1970,6,kc,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-kc,1970-06-kc,6/1/1970
1970,6,mi,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-mi,1970-06-mi,6/1/1970
1970,6,ny,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-ny,1970-06-ny,6/1/1970
1970,6,ph,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-ph,1970-06-ph,6/1/1970
1970,6,ri,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-ri,1970-06-ri,6/1/1970
1970,6,sf,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-sf,1970-06-sf,6/1/1970
1970,6,sl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-sl,1970-06-sl,6/1/1970
1970,6,su,https://www.minneapolisfed.org/beige-book-reports/1970/1970-06-su,1970-06-su,6/1/1970
1970,7,at,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-at,1970-07-at,7/1/1970
1970,7,bo,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-bo,1970-07-bo,7/1/1970
1970,7,ch,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-ch,1970-07-ch,7/1/1970
1970,7,cl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-cl,1970-07-cl,7/1/1970
1970,7,da,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-da,1970-07-da,7/1/1970
1970,7,kc,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-kc,1970-07-kc,7/1/1970
1970,7,mi,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-mi,1970-07-mi,7/1/1970
1970,7,ny,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-ny,1970-07-ny,7/1/1970
1970,7,ph,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-ph,1970-07-ph,7/1/1970
1970,7,ri,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-ri,1970-07-ri,7/1/1970
1970,7,sf,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-sf,1970-07-sf,7/1/1970
1970,7,sl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-sl,1970-07-sl,7/1/1970
1970,7,su,https://www.minneapolisfed.org/beige-book-reports/1970/1970-07-su,1970-07-su,7/1/1970
1970,8,at,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-at,1970-08-at,8/1/1970
1970,8,bo,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-bo,1970-08-bo,8/1/1970
1970,8,ch,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-ch,1970-08-ch,8/1/1970
1970,8,cl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-cl,1970-08-cl,8/1/1970
1970,8,da,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-da,1970-08-da,8/1/1970
1970,8,kc,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-kc,1970-08-kc,8/1/1970
1970,8,mi,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-mi,1970-08-mi,8/1/1970
1970,8,mny,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-mny,1970-08-mny,8/1/1970
1970,8,ph,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-ph,1970-08-ph,8/1/1970
1970,8,ri,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-ri,1970-08-ri,8/1/1970
1970,8,sf,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-sf,1970-08-sf,8/1/1970
1970,8,sl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-sl,1970-08-sl,8/1/1970
1970,8,su,https://www.minneapolisfed.org/beige-book-reports/1970/1970-08-su,1970-08-su,8/1/1970
1970,9,at,https://www.minneapolisfed.org/beige-book-reports/1970/1970-09-at,1970-09-at,9/1/1970
1970,9,bo,https://www.minneapolisfed.org/beige-book-reports/1970/1970-09-bo,1970-09-bo,9/1/1970
1970,9,ch,https://www.minneapolisfed.org/beige-book-reports/1970/1970-09-ch,1970-09-ch,9/1/1970
1970,9,cl,https://www.minneapolisfed.org/beige-book-reports/1970/1970-09-cl,1970-09-cl,9/1/1970
